soil_type,season,temperature,humidity,rainfall,crop
Red,Rabi,27.0,58,6.0,Groundnut
Red,Rabi,27.7,59,6.8,Groundnut
Red,Rabi,28.4,60,7.6,Groundnut
Red,Rabi,29.1,61,8.4,Groundnut
Sandy,Kharif,27.9,57,5.6,Groundnut
Sandy,Kharif,28.6,58,6.4,Groundnut
Sandy,Kharif,29.3,59,7.2,Groundnut
Sandy,Kharif,30.0,60,8.0,Groundnut
Sandy,Kharif,30.7,61,8.8,Groundnut
Sandy,Kharif,31.4,62,9.6,Groundnut
Sandy,Kharif,32.1,63,10.4,Groundnut
Black,Kharif,28.9,61,4.6,Cotton
Black,Kharif,29.6,62,5.4,Cotton
Black,Kharif,30.3,63,6.2,Cotton
Black,Kharif,31.0,64,7.0,Cotton
Black,Kharif,31.7,65,7.8,Cotton
Black,Kharif,32.4,66,8.6,Cotton
Black,Kharif,33.1,67,9.4,Cotton
Black,Monsoon,26.9,67,6.6,Cotton
Black,Monsoon,27.6,68,7.4,Cotton
Black,Monsoon,28.3,69,8.2,Cotton
Black,Monsoon,29.0,70,9.0,Cotton
Black,Monsoon,29.7,71,9.8,Cotton
Black,Monsoon,30.4,72,10.6,Cotton
Black,Monsoon,31.1,73,11.4,Cotton
Loamy,Summer,27.9,75,9.6,Banana
Loamy,Summer,28.6,76,10.4,Banana
Loamy,Summer,29.3,77,11.2,Banana
Loamy,Summer,30.0,78,12.0,Banana
Loamy,Summer,30.7,79,12.8,Banana
Loamy,Summer,31.4,80,13.6,Banana
Loamy,Summer,32.1,81,14.4,Banana
Alluvial,Zaid,28.9,71,8.6,Banana
Alluvial,Zaid,29.6,72,9.4,Banana
Alluvial,Zaid,30.3,73,10.2,Banana
Alluvial,Zaid,31.0,74,11.0,Banana
Alluvial,Zaid,31.7,75,11.8,Banana
Alluvial,Zaid,32.4,76,12.6,Banana
Alluvial,Zaid,33.1,77,13.4,Banana
Red,Monsoon,25.9,76,11.6,Turmeric
Red,Monsoon,26.6,77,12.4,Turmeric
Red,Monsoon,27.3,78,13.2,Turmeric
Red,Monsoon,28.0,79,14.0,Turmeric
Red,Monsoon,28.7,80,14.8,Turmeric
Red,Monsoon,29.4,81,15.6,Turmeric
Red,Monsoon,30.1,82,16.4,Turmeric
Laterite,Kharif,24.9,73,10.6,Turmeric
Laterite,Kharif,25.6,74,11.4,Turmeric
Laterite,Kharif,26.3,75,12.2,Turmeric
Laterite,Kharif,27.0,76,13.0,Turmeric
Laterite,Kharif,27.7,77,13.8,Turmeric
Laterite,Kharif,28.4,78,14.6,Turmeric
Laterite,Kharif,29.1,79,15.4,Turmeric
Laterite,Rabi,22.9,52,1.5999999999999996,Pulses
Laterite,Rabi,23.6,53,2.4,Pulses
Laterite,Rabi,24.3,54,3.2,Pulses
Laterite,Rabi,25.0,55,4.0,Pulses
Laterite,Rabi,25.7,56,4.8,Pulses
Laterite,Rabi,26.4,57,5.6,Pulses
Laterite,Rabi,27.1,58,6.4,Pulses
Red,Winter,21.9,54,2.5999999999999996,Pulses
Red,Winter,22.6,55,3.4,Pulses
Red,Winter,23.3,56,4.2,Pulses
Red,Winter,24.0,57,5.0,Pulses
Red,Winter,24.7,58,5.8,Pulses
Red,Winter,25.4,59,6.6,Pulses
Red,Winter,26.1,60,7.4,Pulses
Loamy,Winter,20.9,65,3.5999999999999996,Vegetables
Loamy,Winter,21.6,66,4.4,Vegetables
Loamy,Winter,22.3,67,5.2,Vegetables
Loamy,Winter,23.0,68,6.0,Vegetables
Loamy,Winter,23.7,69,6.8,Vegetables
Loamy,Winter,24.4,70,7.6,Vegetables
Loamy,Winter,25.1,71,8.4,Vegetables
Alluvial,Summer,26.9,67,5.6,Vegetables
Alluvial,Summer,27.6,68,6.4,Vegetables
Alluvial,Summer,28.3,69,7.2,Vegetables
Alluvial,Summer,29.0,70,8.0,Vegetables
Alluvial,Summer,29.7,71,8.8,Vegetables
Alluvial,Summer,30.4,72,9.6,Vegetables
Alluvial,Summer,31.1,73,10.4,Vegetables
Alluvial,Kharif,28.0,65,8.0,Maize
Alluvial,Rabi,28.0,65,8.0,Maize
Alluvial,Zaid,28.0,65,8.0,Maize
Alluvial,Summer,28.0,65,8.0,Maize
Alluvial,Winter,28.0,65,8.0,Maize
Alluvial,Monsoon,28.0,65,8.0,Rice
Black,Kharif,28.0,65,8.0,Cotton
Black,Rabi,28.0,65,8.0,Cotton
Black,Zaid,28.0,65,8.0,Cotton
Black,Summer,28.0,65,8.0,Cotton
Black,Winter,28.0,65,8.0,Cotton
Black,Monsoon,28.0,65,8.0,Cotton
Red,Kharif,28.0,65,8.0,Maize
Red,Rabi,28.0,65,8.0,Maize
Red,Zaid,28.0,65,8.0,Maize
Red,Summer,28.0,65,8.0,Maize
Red,Winter,28.0,65,8.0,Maize
Red,Monsoon,28.0,65,8.0,Rice
Laterite,Kharif,28.0,65,8.0,Maize
Laterite,Rabi,28.0,65,8.0,Maize
Laterite,Zaid,28.0,65,8.0,Maize
Laterite,Summer,28.0,65,8.0,Maize
Laterite,Winter,28.0,65,8.0,Maize
Laterite,Monsoon,28.0,65,8.0,Rice
Sandy,Kharif,28.0,65,8.0,Maize
Sandy,Rabi,28.0,65,8.0,Maize
Sandy,Zaid,28.0,65,8.0,Maize
Sandy,Summer,28.0,65,8.0,Maize
Sandy,Winter,28.0,65,8.0,Maize
Sandy,Monsoon,28.0,65,8.0,Rice
Clay,Kharif,28.0,65,8.0,Maize
Clay,Rabi,28.0,65,8.0,Maize
Clay,Zaid,28.0,65,8.0,Maize
Clay,Summer,28.0,65,8.0,Maize
Clay,Winter,28.0,65,8.0,Maize
Clay,Monsoon,28.0,65,8.0,Rice
Loamy,Kharif,28.0,65,8.0,Vegetables
Loamy,Rabi,28.0,65,8.0,Vegetables
Loamy,Zaid,28.0,65,8.0,Vegetables
Loamy,Summer,28.0,65,8.0,Vegetables
Loamy,Winter,28.0,65,8.0,Vegetables
Loamy,Monsoon,28.0,65,8.0,Vegetables
